ticker,tipo,issuer,indexador,taxa_emissao,taxa_mercado,taxa_ativo,taxa_compra,taxa_venda,pu_emissao,pu,pu_mercado,data_ultimo_negocio,volume_negociado_b3,volume_emissao,volume,quantidade_emitida,quantidade,data_emissao,vencimento,emissao,serie,isin,lei,cnpj_emissor,setor,agente_fiduciario,coordenador_lider,rating,rating_original,rating_agencia,agencia,rating_data,divulgacao,securitizadora,status_ativo,duration,ntnb_referencia,taxa_ntnb,rating_normalizado,incentivada,em_recuperacao_judicial,fonte_precificacao,spread
08C0013391,CRI,VISION,TR,6.1678,,6.1678,,,248270269.2,248270269.2,,,,248270269.2,248270269.2,1.0,1.0,2008-03-31,2027-01-01,1.0,1.0,BRVSONCRI008,,,,,,,,,,,,Vórtx Securitizadora,Ativo,0.31,,,,Sim,Não,Duration Calculada (DU/252),
08C0013392,CRI,VISION,TR,6.1678,,6.1678,,,13069960.06,13069960.06,,,,13069960.06,13069960.06,1.0,1.0,2008-03-31,2027-01-01,1.0,2.0,BRVSONCRI016,,,,,,,,,,,,Vórtx Securitizadora,Ativo,0.31,,,,Sim,Não,Duration Calculada (DU/252),
08C0014529,CRI,Diversificado,IGP-M,10.8689,,10.8689,,,1237732.99,1237732.99,,,,30943324.75,30943324.75,25.0,25.0,2019-10-17,2023-03-13,1.0,88.0,BRBSCSCRI251,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08C0014530,CRI,Diversificado,IGP-M,11.3687,,11.3687,,,1179433.74,1179433.74,,,,29485843.61,29485843.61,25.0,25.0,2019-10-15,2027-08-13,1.0,89.0,BRBSCSCRI269,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,0.92,,,,Sim,Não,Duration Calculada (DU/252),
08C0014531,CRI,BRAZILIAN,IGP-M,12.0,,12.0,,,14742921.8,14742921.8,,,,29485843.61,29485843.61,2.0,2.0,2008-03-13,2027-08-13,1.0,90.0,BRBSCSCRI277,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,0.92,,,,Sim,Não,Duration Calculada (DU/252),
08D0008331,CRI,Virgo II Cia Sec,TR,10.0,,10.0,,,59453137.59,59453137.59,,,,59453137.59,59453137.59,1.0,1.0,2008-04-28,2018-06-21,2.0,2.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08D0008335,CRI,Virgo II Cia Sec,TR,9.9,,9.9,,,59453137.59,59453137.59,,,,59453137.59,59453137.59,1.0,1.0,2008-04-28,2018-06-21,2.0,2.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08E0005789,CRI,BRAZILIAN,TR,15.6299,,15.6299,,,11395432.71,11395432.71,,,,45581730.86,45581730.86,4.0,4.0,2008-05-01,2027-09-01,1.0,2.0,BRBSCSCRI2D9,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,0.97,,,,Sim,Não,Duration Calculada (DU/252),
08E0005789,CRI,Diversificado,,,,,,,,,,,,,,,,2019-10-16,,1.0,96.0,BRBSCSCRI2E7,,,,,,,,,,,,BRAZILIAN SC,Indeterminado,,,,,Sim,Não,Vencido / Sem Precificação,
08E0005790,CRI,BRAZILIAN,TR,6.59,,6.59,,,1111749.53,1111749.53,,,,45581730.86,45581730.86,41.0,41.0,2008-05-01,2018-10-01,1.0,2.0,BRBSCSCRI2C1,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08E0008563,CRI,Virgo II Cia Sec,IGP-M,10.05,,10.05,,,17670734.37,17670734.37,,,,17670734.37,17670734.37,1.0,1.0,2008-05-27,2017-12-15,2.0,1.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08G0004539,CRI,Petrobras Vitoria I,TR,10.2,,10.2,,,,,,,,,,1.0,1.0,,2020-10-15,1.0,20.0,BRRBCSCRI0I3,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08I0012498,CRI,BRAZILIAN,IGP-M,10.7223,,10.7223,,,353683.64,353683.64,,,,17330498.36,17330498.36,49.0,49.0,2008-09-13,2017-10-13,1.0,1.0,BRBSCSCRI2L2,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08I0013317,CRI,Diversificado,IGP-M,11.711,,11.711,,,418992.29,418992.29,,,,10055814.96,10055814.96,24.0,24.0,2019-10-16,2028-10-13,1.0,106.0,BRBSCSCRI2M0,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,1.93,,,,Sim,Não,Duration Calculada (DU/252),
08J0012973,CRI,Diversificado,IGP-M,11.0775,,11.0775,,,1901167.99,1901167.99,,,,47529199.75,47529199.75,25.0,25.0,2019-10-15,2020-11-13,1.0,111.0,BRBSCSCRI2P3,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
08L0002118,CRI,Diversificado,IGP-M,10.8113,,10.8113,,,323257.98,323257.98,,,,16162899.0,16162899.0,50.0,50.0,2019-10-16,2024-02-13,1.0,113.0,BRBSCSCRI2R9,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09B0002128,CRI,Diversificado,IGP-M,10.9338,,10.9338,,,388164.22,388164.22,,,,19408211.0,19408211.0,50.0,50.0,2009-02-13,2033-09-13,1.0,116.0,BRBSCSCRI2T5,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,5.32,,,,Sim,Não,Duration Calculada (DU/252),
09C0005309,CRI,Diversificado,IGP-M,10.9735,,10.9735,,,311557.07,311557.07,,,,7477369.68,7477369.68,24.0,24.0,2019-10-17,2027-08-20,1.0,117.0,BRBSCSCRI2U3,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,0.94,,,,Sim,Não,Duration Calculada (DU/252),
09C0009708,CRI,,,,,,,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,Indeterminado,,,,,Sim,Não,Vencido / Sem Precificação,
09D0007414,CRI,Diversificado,IGP-M,10.95,,10.95,,,483034.76,483034.76,,,,12075869.0,12075869.0,25.0,25.0,2019-10-15,2023-06-20,1.0,120.0,BRBSCSCRI2X7,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09D0016705,CRI,Diversificado,TR,8.44,,8.44,,,305468.22,305468.22,,,,16495283.88,16495283.88,54.0,54.0,2009-04-20,2028-10-20,1.0,122.0,BRBSCSCRI2Y5,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,1.99,,,,Sim,Não,Duration Calculada (DU/252),
09F0014788,CRI,Diversificado,IGP-M,10.81,,10.81,,,553350.27,553350.27,,,,13833756.75,13833756.75,25.0,25.0,2019-10-17,2025-06-20,1.0,123.0,BRBSCSCRI327,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09F0029787,CRI,Petrobras Vitoria II,TR,11.0,,11.0,,,,,,,,,,1.0,1.0,2020-06-30,2019-06-25,1.0,26.0,BRRBCSCRI0V6,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09H0003225,CRI,MATONE,TR,11.0,,11.0,,,,,,,,,,67.0,67.0,,2024-01-10,1.0,1.0,BRGAIACRI006,,,,,,,,,,,,Opea Securitizadora,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09H0003245,CRI,MATONE,TR,14.5,,14.5,,,320500.5,320500.5,1002.1506,2026-09-04,1503225.87,5800000.0,5800000.0,5800.0,5800.0,2026-08-21,2035-01-10,620.0,2.0,BRGAIACRI014,,,,,,,,,,,,Vórtx Securitizadora,Ativo,5.33,,,,Sim,Não,Duration Calculada (DU/252),
09H0003245,CRI,PROJETO GREEN,DI+,0.45,,0.45,,,1000.0,1000.0,1002.1506,2026-09-04,1503225.87,300000000.0,300000000.0,300000.0,300000.0,2026-08-25,2031-08-25,554.0,2.0,BRRBRACIR424,,,,,,,,,,,,Vórtx Securitizadora,Ativo,4.92,,,,Sim,Não,Duration Calculada (DU/252),0.0045000000000000005
09H0003245,CRI,JHSF,Não há,100.0,,100.0,,,1000.0,1000.0,1002.1506,2026-09-04,1503225.87,98573.67,98573.67,0.0,0.0,2026-08-15,2034-08-15,622.0,2.0,BRRBRACIR4F4,,,,,,,,,,,,Vórtx Securitizadora,Ativo,5.59,,,,Sim,Não,Duration Calculada (DU/252),
09H0007932,CRI,Diversificado,IGP-M,11.03,,11.03,,,595971.15,595971.15,,,,14899278.75,14899278.75,25.0,25.0,2019-10-17,2029-08-20,1.0,125.0,BRBSCSCRI343,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,2.68,,,,Sim,Não,Duration Calculada (DU/252),
09J0008264,CRI,Diversificado,IGP-M,11.46,,11.46,,,428755.37,428755.37,,,,10718884.25,10718884.25,25.0,25.0,2019-09-17,2029-06-20,1.0,127.0,BRBSCSCRI376,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,2.5,,,,Sim,Não,Duration Calculada (DU/252),
09J0010341,CRI,Petrobras BR Lubrax,IPCA,6.85,,6.85,,,,,,,,,,367.0,367.0,,2019-07-23,1.0,25.0,BRRBCSCRI121,,,,,,,,,,,,Opea Securitizadora,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.003650149255974622
09J0012511,CRI,Plaza Avenida,IPCA,9.4,,9.4,,,,,,,,,,18.0,18.0,2019-06-30,2019-10-20,1.0,36.0,BRRBCSCRI147,,,,,,,,,,,,RBCAPITALRES,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.027602492546594526
09J0012519,CRI,Plaza Avenida,IPCA,9.4,,9.4,,,,,,,,,,18.0,18.0,2019-06-30,2019-10-20,1.0,35.0,BRRBCSCRI139,,,,,,,,,,,,RBCAPITALRES,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.027602492546594526
09J0016949,CRI,Diversificado,IGP-M,10.16,,10.16,,,338664.5,338664.5,,,,27093160.38,27093160.38,80.0,80.0,2009-10-20,2039-08-20,1.0,130.0,BRBSCSCRI392,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,7.8,,,,Sim,Não,Duration Calculada (DU/252),
09J0016950,CRI,BRAZILIAN,IGP-M,11.6589,,11.6589,,,3010351.15,3010351.15,,,,27093160.38,27093160.38,9.0,9.0,2009-10-20,2039-08-20,1.0,131.0,BRBSCSCRI3A3,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,7.34,,,,Sim,Não,Duration Calculada (DU/252),
09J0016951,CRI,PetrobrasVitoria III,TR,9.7,,9.7,,,,,,,,,,250.0,250.0,,2020-08-24,1.0,38.0,BRRBCSCRI154,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09K0015625,CRI,GAIA,IGP-M,0.9489,,0.9489,,,340000.0,340000.0,,,,18360000.0,18360000.0,54.0,54.0,2009-11-27,2017-12-28,3.0,1.0,BRGAIACRI063,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
09L0003047,CRI,Virgo II Cia Sec,IGP-M,8.75,,8.75,,,346980.42,346980.42,,,,5204706.29,5204706.29,15.0,15.0,2009-12-03,2025-11-03,2.0,127.0,BRCBSCCRI0X9,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10B0002537,CRI,Opea Securitizadora S.A.,TR,7.413,,7.413,,,25352973.893131,25352973.893131,,,,25352973.89,25352973.89,1.0,1.0,2010-02-01,2027-01-01,1.0,62.0,BRRBRACRI1K0,,,,,,,,,,,,RBCAPITALRES,Ativo,0.31,,,,Sim,Não,Duration Calculada (DU/252),
10B0025005,CRI,Virgo II Cia Sec,IGP-M,11.0,,11.0,,,8586697.29,8586697.29,,,,8586697.29,8586697.29,1.0,1.0,2010-02-05,2025-05-05,2.0,130.0,BRCBSCCRI0M2,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10C0015085,CRI,Diversificado,IGP-M,13.31,,13.31,,,1195111.88,1195111.88,,,,29877797.0,29877797.0,25.0,25.0,2019-10-15,2030-06-13,1.0,155.0,BRBSCSCRI3X5,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,3.15,,,,Sim,Não,Duration Calculada (DU/252),
10D0018445,CRI,Diversificado,IGP-M,10.68,,10.68,,,1022215.71,1022215.71,,,,21466529.91,21466529.91,21.0,21.0,2010-04-13,2024-01-13,1.0,159.0,BRBSCSCRI418,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10D0018560,CRI,Diversificado,IGP-M,11.32,,11.32,,,355165.93,355165.93,,,,49368064.4,49368064.4,139.0,139.0,2010-04-13,2039-12-13,1.0,156.0,BRBSCSCRI3Y3,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,7.38,,,,Sim,Não,Duration Calculada (DU/252),
10D0018564,CRI,BRAZILIAN,IGP-M,12.0,,12.0,,,2057002.68,2057002.68,,,,49368064.4,49368064.4,24.0,24.0,2010-04-13,2039-12-13,1.0,157.0,BRBSCSCRI3Z0,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,7.17,,,,Sim,Não,Duration Calculada (DU/252),
10E0013644,CRI,Opea Securitizadora S.A.,IGP-M,9.4,,9.4,,,1004638.48,1004638.48,,,,186862757.28,186862757.28,186.0,186.0,2010-05-07,2099-08-08,1.0,109.0,BRPDGSCRI031,,,,,,,,,,,,Pentágono Trustee,Ativo,11.64,,,,Sim,Não,Duration Calculada (DU/252),
10E0022938,CRI,Diversificado,IGP-M,11.31,,11.31,,,1001272.67,1001272.67,,,,11013999.37,11013999.37,11.0,11.0,2019-10-17,2024-03-13,1.0,162.0,BRBSCSCRI426,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10E0027441,CRI,Virgo II Cia Sec,IPCA,11.0,,11.0,,,6554408.28,6554408.28,,,,6554408.28,6554408.28,1.0,1.0,2010-02-05,2025-07-05,2.0,132.0,BRCBSCCRI0P5,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.04263141382698343
10F0023589,CRI,Petrobras | Ed. Wtorre Senado,TR,10.5,,10.5,,,,,,,,,,524.0,524.0,,2021-11-19,1.0,47.0,BRRBCSCRI1G5,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10F0026396,CRI,Virgo II Cia Sec,IPCA,11.0,,11.0,,,10025603.4,10025603.4,,,,10025603.4,10025603.4,1.0,1.0,2010-06-30,2025-09-30,2.0,136.0,BRCBSCCRI0T7,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.04263141382698343
10G0019826,CRI,Diversificado,IGP-M,10.67,,10.67,,,1003465.18,1003465.18,,,,13045047.34,13045047.34,13.0,13.0,2010-07-13,2025-07-13,1.0,167.0,BRBSCSCRI4B9,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10G0020942,CRI,Diversificado,IGP-M,8.89,,8.89,,,333487.56,333487.56,,,,11005089.33,11005089.33,33.0,33.0,2010-07-13,2040-06-13,1.0,169.0,BRBSCSCRI475,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,8.37,,,,Sim,Não,Duration Calculada (DU/252),
10G0020944,CRI,Diversificado,IGP-M,8.87,,8.87,,,333355.71,333355.71,,,,11000738.46,11000738.46,33.0,33.0,2010-07-13,2019-06-13,1.0,2.0,BRBSCSCRI491,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10G0020945,CRI,BRAZILIAN,IGP-M,27.97,,27.97,,,3666912.82,3666912.82,,,,11000738.46,11000738.46,3.0,3.0,2010-07-13,2040-06-13,1.0,172.0,BRBSCSCRI4A1,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,4.33,,,,Sim,Não,Duration Calculada (DU/252),
10G0020957,CRI,BRAZILIAN,IGP-M,31.32,,31.32,,,3668363.11,3668363.11,,,,11005089.33,11005089.33,3.0,3.0,2010-07-13,2040-06-13,1.0,170.0,BRBSCSCRI483,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,4.0,,,,Sim,Não,Duration Calculada (DU/252),
10G0033154,CRI,LGR EMPREENDIMENTOS,DI+,7.95,,7.95,,,,,,,,,,283.0,283.0,,2025-05-10,4.0,7.0,BRGAIACRI0D2,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,0.0795
10G0033155,CRI,,,,,,,,,,,,,,,,,,,4.0,8.0,BRGAIACRI0E0,,,,,,,,,,,,Gaia,Indeterminado,,,,,Sim,Não,Vencido / Sem Precificação,
10I0020235,CRI,BRAZILIAN,IGP-M,32.13,,32.13,,,2336568.59,2336568.59,,,,49067940.37,49067940.37,21.0,21.0,2010-09-20,2040-08-20,1.0,181.0,BRBSCSCRI4F0,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,4.12,,,,Sim,Não,Duration Calculada (DU/252),
10I0020427,CRI,Diversificado,IGP-M,8.0,,8.0,,,345548.88,345548.88,,,,49067940.37,49067940.37,142.0,142.0,2010-09-20,2019-07-22,1.0,2.0,BRBSCSCRI4E3,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10I0026352,CRI,Virgo II Cia Sec,IGP-M,12.0,,12.0,,,17879931.42,17879931.42,,,,17879931.42,17879931.42,1.0,1.0,2010-09-27,2018-08-27,2.0,1.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10J0010501,CRI,PDG Companhia Securitizadora,DI%,107.0,,107.0,,,300000.0,300000.0,,,,405000000.0,405000000.0,1350.0,1350.0,2010-10-14,2099-10-03,3.0,3.0,BRPDGSCRI064,,,,,,,,,,,,Pentágono Trustee,Ativo,30.0,,,,Sim,Não,Duration Calculada (DU/252),0.07
10K0024718,CRI,Diversificado,IGP-M,8.99,,8.99,,,340757.24,340757.24,,,,13630289.76,13630289.76,40.0,40.0,2010-11-20,2030-10-20,1.0,186.0,BRBSCSCRI4I4,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,3.54,,,,Sim,Não,Duration Calculada (DU/252),
10K0024721,CRI,BRAZILIAN,IGP-M,28.48,,28.48,,,3407572.44,3407572.44,,,,13630289.76,13630289.76,4.0,4.0,2010-11-20,2030-10-20,1.0,187.0,BRBSCSCRI4J2,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,2.77,,,,Sim,Não,Duration Calculada (DU/252),
10L00061571,CRA,Produtores de Soja,,,,,,,,,,,,,,,,,,1.0,36.0,,,,,,,,,,,,,Ecoagro Securitizadora,Indeterminado,,,,,Sim,Não,Vencido / Sem Precificação,
10L0013330,CRI,Nestle Dahruj,IGP-M,7.9,,7.9,,,,,,,,,,83.0,83.0,,2024-02-22,1.0,58.0,BRRBCSCRI1L5,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10L0016089,CRI,BR Properties,TR,9.5,,9.5,,,,,,,,,,64.0,64.0,,2019-12-16,1.0,59.0,BRRBCSCRI1M3,,,,,,,,,,,,RBCAPITALRES,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10L0025298,CRI,Opea Securitizadora S.A.,IPCA,8.5,,8.5,,,300036.31282573,300036.31282573,,,,51606245.81,51606245.81,172.0,172.0,2019-12-09,2099-03-19,1.0,53.0,BRRBCSCRI1O9,,,,,,,,,,,,RBCAPITALRES,Ativo,12.76,15/08/2060,7.3421,,Sim,Não,Duration Calculada (DU/252),0.010787007148173933
10L0027006,CRI,Diversificado,IGP-M,8.1,,8.1,,,335887.62,335887.62,,,,21832695.45,21832695.45,65.0,65.0,2010-12-13,2030-12-13,1.0,194.0,BRBSCSCRI4Y1,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,3.73,,,,Sim,Não,Duration Calculada (DU/252),
10L0027046,CRI,BRAZILIAN,IGP-M,40.47,,40.47,,,3118956.49,3118956.49,,,,21832695.45,21832695.45,7.0,7.0,2010-12-13,2030-12-13,1.0,195.0,BRBSCSCRI4Z8,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,2.74,,,,Sim,Não,Duration Calculada (DU/252),
10L0053062,CRI,Virgo II Cia Sec,IGP-M,10.3,,10.3,,,70584910.39,70584910.39,,,,70584910.39,70584910.39,1.0,1.0,2010-12-20,2020-10-20,2.0,2.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10L0053065,CRI,Virgo II Cia Sec,IGP-M,10.3,,10.3,,,70584910.39,70584910.39,,,,70584910.39,70584910.39,1.0,1.0,2010-12-20,2020-10-20,2.0,2.0,,,,,,,,,,,,,Isec / Oliveira Trust,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
10L0056489,CRI,Scopel Desenvolvimen,,,,,,,,,,,,,,,,2019-10-24,,1.0,24.0,BRTSSACRI0L8,,,,,,,,,,,,TRAVESSIASEC,Indeterminado,,,,,Sim,Não,Vencido / Sem Precificação,
10L0057351,CRI,VLI Brejo Araguari,IPCA,6.9479,,6.9479,,,,,,,,,,150.0,150.0,2020-06-30,2019-02-07,1.0,61.0,BRRBCSCRI1S0,,,,,,,,,,,,RBCAPITALRES,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.004569731376818487
10L0057352,CRI,VLI Brejo Araguari,IPCA,6.9479,,6.9479,,,,,,,,,,245.0,245.0,2020-06-30,2019-02-01,1.0,62.0,BRRBCSCRI1T8,,,,,,,,,,,,RBCAPITALRES,Vencido,,15/05/2027,6.4614,,Sim,Não,Vencido / Sem Precificação,0.004569731376818487
11A0015796,CRI,Odebrecht Abiatar I,TR,10.5,,10.5,,,,,,,,,,275.0,275.0,,2019-06-13,1.0,56.0,BRRBCSCRI1Q4,,,,,,,,,,,,Opea Securitizadora,Vencido,,,,,Sim,Não,Vencido / Sem Precificação,
11A0022964,CRI,BRAZILIAN,IGP-M,35.96,,35.96,,,3276261.73,3276261.73,,,,29486355.53,29486355.53,9.0,9.0,2011-01-20,2030-12-20,1.0,200.0,BRBSCSCRI558,,,,,,,,,,,,Isec / Oliveira Trust,Ativo,2.76,,,,Sim,Não,Duration Calculada (DU/252),
